tile_id,time,NDVI,NDWI,NDAVI,EVI,SSSII,NDTI,DII
T17RNH,2015-11-13 16:00:52,-0.02880489081144333,0.15359774231910706,-0.22616825997829437,,0.12761567533016205,-0.12761567533016205,-0.15392979979515076
T17RNH,2016-03-02 15:54:02,-0.037906937301158905,0.18135520815849304,-0.24812299013137817,inf,0.14702948927879333,-0.14702948927879333,-0.14297708868980408
T17RNH,2016-06-30 16:05:12,-0.019191205501556396,0.08048327267169952,-0.12349105626344681,,0.0625125914812088,-0.0625125914812088,-0.08802976459264755
T17RNH,2016-07-20 16:05:12,-0.025779152289032936,0.10612226277589798,-0.15708844363689423,,0.08203323185443878,-0.08203323185443878,-0.10527724772691727
T17RNH,2016-09-18 16:05:12,-0.0229681134223938,0.1398632824420929,-0.204564169049263,,0.11957216262817383,-0.11957216262817383,-0.13616257905960083
T17RNH,2016-11-27 16:05:12,-0.03454812243580818,0.1643650084733963,-0.23863251507282257,,0.13324585556983948,-0.13324585556983948,-0.15859046578407288
T17RNH,2017-01-26 16:05:01,-0.004604747984558344,0.15422628819942474,-0.15102459490299225,,0.15404534339904785,-0.15404534339904785,
T17RNH,2017-02-25 16:05:11,0.013793334364891052,0.13145767152309418,-0.12571263313293457,,0.14842185378074646,-0.14842185378074646,
T17RNH,2017-04-26 16:05:11,0.009316965937614441,0.06914947181940079,-0.07540742307901382,,0.07973367720842361,-0.07973367720842361,-0.01087083201855421
T17RNH,2017-05-16 16:05:11,0.003593489993363619,0.0742182806134224,-0.07475518435239792,,0.07899904251098633,-0.07899904251098633,0.0008864623960107565
T17RNH,2017-06-25 16:05:11,0.011330289766192436,0.06176135316491127,-0.06036095693707466,,0.07493792474269867,-0.07493792474269867,
T17RNH,2017-07-15 16:05:11,0.014418091624975204,0.06453538686037064,-0.05271819606423378,,0.08132743090391159,-0.08132743090391159,
T17RNH,2017-08-04 16:05:11,,,,,0.06631475687026978,-0.06631475687026978,inf
T17RNH,2017-09-13 16:05:11,-0.049072083085775375,0.17369607090950012,-0.1930120885372162,,0.12921582162380219,-0.12921582162380219,-0.040327344089746475
T17RNH,2017-10-03 16:05:11,-0.045319829136133194,0.15284816920757294,-0.15477873384952545,,0.11199377477169037,-0.11199377477169037,inf
T17RNH,2017-12-02 16:05:11,0.016440685838460922,0.09505229443311691,-0.07768262177705765,,0.1136806458234787,-0.1136806458234787,
T17RNH,2017-12-22 16:05:11,0.022848570719361305,0.11074178665876389,-0.10311069339513779,,0.135673388838768,-0.135673388838768,
T17RNH,2018-01-11 16:05:01,0.01953389309346676,0.1116635650396347,-0.0969773679971695,,0.1335671991109848,-0.1335671991109848,
T17RNH,2018-02-10 16:05:11,-0.017211997881531715,0.14630883932113647,-0.15953244268894196,,0.13324785232543945,-0.13324785232543945,-inf
T17RNH,2018-03-02 16:05:11,-0.0021030129864811897,0.12361722439527512,-0.14369280636310577,,0.12345454096794128,-0.12345454096794128,-0.04047426953911781
T17RNH,2018-03-22 16:05:11,0.017446395009756088,0.1042274683713913,-0.07552464306354523,,0.12399812787771225,-0.12399812787771225,
T17RNH,2018-04-21 16:05:11,0.007312963251024485,0.09701378643512726,-0.09446417540311813,,0.10587020963430405,-0.10587020963430405,
T17RNH,2018-07-10 16:05:11,-0.004298290703445673,0.08546094596385956,-0.09600020200014114,,0.08186803758144379,-0.08186803758144379,-0.020823126658797264
T17RNH,2018-08-09 16:05:11,0.011551594361662865,0.07072945684194565,-0.04377659410238266,,0.08373434096574783,-0.08373434096574783,
T17RNH,2018-09-28 16:05:11,0.022642193362116814,0.06539192795753479,-0.026957087218761444,,0.09010902792215347,-0.09010902792215347,
